City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Avarua,CK,2022-05-02 00:10:23,-21.2078,-159.775,84.25,74,20,5.75,few clouds
60,Kavieng,PG,2022-05-02 00:19:38,-2.5744,150.7967,85.1,70,28,9.98,scattered clouds
61,Pevek,RU,2022-05-02 00:19:39,69.7008,170.3133,18.25,70,97,8.05,overcast clouds
62,Banavar,IN,2022-05-02 00:19:39,13.4136,76.1683,71.55,83,84,5.28,broken clouds
63,Khandbari,NP,2022-05-02 00:17:20,27.3747,87.2039,63.64,77,19,3.69,few clouds
64,Kirkenaer,NO,2022-05-02 00:19:40,60.4564,12.0582,41.45,65,100,5.06,overcast clouds
65,Castro,BR,2022-05-02 00:19:40,-24.7911,-50.0119,63.16,88,62,2.48,broken clouds
66,Atuona,PF,2022-05-02 00:19:41,-9.8,-139.0333,78.31,81,100,12.73,overcast clouds
67,Enumclaw,US,2022-05-02 00:18:38,47.2043,-121.9915,63.16,57,100,3.0,overcast clouds
68,Killybegs,IE,2022-05-02 00:19:42,54.6333,-8.45,50.92,92,88,2.28,overcast clouds
69,Mahon,ES,2022-05-02 00:17:09,39.8885,4.2658,57.76,94,40,3.44,fog
70,Clarksdale,US,2022-05-02 00:19:42,34.2001,-90.5709,78.91,44,0,9.22,clear sky
71,Nyurba,RU,2022-05-02 00:19:43,63.2842,118.3319,24.8,61,53,13.42,broken clouds
72,Bluff,NZ,2022-05-02 00:19:43,-46.6,168.3333,62.8,77,29,12.39,scattered clouds
73,Saskylakh,RU,2022-05-02 00:19:43,71.9167,114.0833,14.5,91,50,5.84,scattered clouds
74,Bethel,US,2022-05-02 00:19:44,41.3712,-73.414,60.37,51,100,1.01,overcast clouds
75,Paoua,CF,2022-05-02 00:19:44,7.2427,16.4406,71.26,82,100,5.37,overcast clouds
76,Chicama,PE,2022-05-02 00:19:45,-7.8447,-79.1469,63.14,82,38,7.0,scattered clouds
77,Kavaratti,IN,2022-05-02 00:19:45,10.5669,72.642,84.06,71,86,9.01,overcast clouds
78,Belyy Yar,RU,2022-05-02 00:19:46,53.6039,91.3903,53.49,40,0,4.47,clear sky
79,Bundaberg,AU,2022-05-02 00:17:47,-24.85,152.35,75.49,78,75,13.8,light rain
80,Naryan-Mar,RU,2022-05-02 00:19:46,67.6713,53.087,15.73,96,88,9.4,overcast clouds
81,Puerto Ayora,EC,2022-05-02 00:19:31,-0.7393,-90.3518,73.26,86,50,5.55,scattered clouds
82,Voi,KE,2022-05-02 00:19:47,-3.3945,38.563,70.23,89,46,6.71,scattered clouds
83,Kieta,PG,2022-05-02 00:19:47,-6.2167,155.6333,85.35,68,96,3.83,overcast clouds
84,Touros,BR,2022-05-02 00:19:48,-5.1989,-35.4608,79.47,82,94,10.92,overcast clouds
85,Povenets,RU,2022-05-02 00:19:49,62.8487,34.8262,30.7,99,100,5.7,snow
86,Port Elizabeth,ZA,2022-05-02 00:16:05,-33.918,25.5701,55.31,92,1,1.01,clear sky
87,Dikson,RU,2022-05-02 00:19:49,73.5069,80.5464,8.1,95,100,10.92,overcast clouds
88,Lebu,CL,2022-05-02 00:19:50,-37.6167,-73.65,52.54,90,13,14.65,few clouds
89,Kimbe,PG,2022-05-02 00:19:50,-5.5502,150.1429,86.54,66,9,1.59,clear sky
90,Barcelona,ES,2022-05-02 00:15:19,41.3888,2.159,63.79,75,0,2.3,clear sky
91,Quirinopolis,BR,2022-05-02 00:16:48,-18.4483,-50.4517,70.81,45,1,1.36,clear sky
92,Bastia,FR,2022-05-02 00:19:51,42.6667,9.3333,58.3,67,0,5.75,clear sky
93,Mehamn,NO,2022-05-02 00:19:51,71.0357,27.8492,25.25,79,88,11.39,overcast clouds
94,Novikovo,RU,2022-05-02 00:19:52,51.1537,37.8879,40.46,61,50,3.13,scattered clouds
95,Kita,ML,2022-05-02 00:19:52,13.0349,-9.4895,90.48,28,70,1.32,broken clouds
96,Shelburne,CA,2022-05-02 00:19:53,44.0787,-80.2041,48.31,90,100,9.78,overcast clouds
97,Thunder Bay,CA,2022-05-02 00:20:03,48.4001,-89.3168,38.28,100,100,9.22,mist
98,Ilulissat,GL,2022-05-02 00:20:54,69.2167,-51.1,21.22,63,37,0.0,scattered clouds
99,Figeac,FR,2022-05-02 00:20:54,44.75,1.9167,51.1,85,96,2.06,overcast clouds
100,Te Anau,NZ,2022-05-02 00:20:55,-45.4167,167.7167,57.85,72,14,4.74,few clouds
101,Yumen,CN,2022-05-02 00:20:55,40.2833,97.2,52.77,14,16,1.92,few clouds
102,Qaanaaq,GL,2022-05-02 00:20:56,77.484,-69.3632,7.12,72,19,6.17,few clouds
103,Maputo,MZ,2022-05-02 00:20:56,-25.9653,32.5892,67.23,76,0,6.91,clear sky
104,Kapaa,US,2022-05-02 00:20:57,22.0752,-159.319,85.98,79,75,18.41,broken clouds
105,Barrow,US,2022-05-02 00:20:57,71.2906,-156.7887,19.42,86,100,14.97,overcast clouds
106,Camacha,PT,2022-05-02 00:20:58,33.0833,-16.3333,60.22,77,40,10.36,scattered clouds
107,Bon Accord,CA,2022-05-02 00:20:58,53.8335,-113.4187,54.79,76,100,17.2,overcast clouds
108,Minab,IR,2022-05-02 00:20:59,27.1467,57.0801,77.94,73,0,4.21,clear sky
109,Ishigaki,JP,2022-05-02 00:20:59,24.3448,124.1572,68.13,88,75,14.97,broken clouds
110,Iqaluit,CA,2022-05-02 00:21:00,63.7506,-68.5145,26.33,86,40,6.91,scattered clouds
111,Pisco,PE,2022-05-02 00:21:00,-13.7,-76.2167,65.01,82,0,13.8,clear sky
112,Georgetown,MY,2022-05-02 00:21:01,5.4112,100.3354,80.55,94,20,3.44,few clouds
113,Magaria,NE,2022-05-02 00:21:01,12.9983,8.9099,86.88,21,47,11.86,scattered clouds
114,Abhar,IR,2022-05-02 00:21:02,36.1468,49.218,50.47,86,100,3.29,overcast clouds
115,Ratnagiri,IN,2022-05-02 00:21:02,16.9833,73.3,80.37,83,1,3.6,clear sky
116,Chake Chake,TZ,2022-05-02 00:21:02,-5.2459,39.7666,76.37,88,100,10.96,moderate rain
117,Khatanga,RU,2022-05-02 00:21:03,71.9667,102.5,16.23,87,82,10.54,broken clouds
118,Tiksi,RU,2022-05-02 00:21:04,71.6872,128.8694,16.92,84,95,10.38,overcast clouds
119,Urzhum,RU,2022-05-02 00:21:04,57.1141,49.9996,34.05,77,67,9.66,broken clouds
120,Maragheh,IR,2022-05-02 00:21:05,37.3917,46.2398,52.07,82,100,9.22,light intensity shower rain
121,Belaya Gora,RU,2022-05-02 00:21:05,68.5333,146.4167,30.6,97,59,6.98,broken clouds
122,Kotovo,RU,2022-05-02 00:21:06,50.3211,44.8012,38.88,62,10,6.91,clear sky
123,Hervey Bay,AU,2022-05-02 00:21:06,-25.2986,152.8535,71.02,90,100,11.01,moderate rain
124,Carnarvon,AU,2022-05-02 00:21:07,-24.8667,113.6333,69.87,52,0,10.36,clear sky
125,Tucuman,AR,2022-05-02 00:18:41,-26.8241,-65.2226,60.8,67,100,4.61,overcast clouds
126,Thessalon,CA,2022-05-02 00:21:07,46.2501,-83.5666,43.09,96,100,11.9,overcast clouds
127,Kautokeino,NO,2022-05-02 00:21:08,69.0125,23.0412,30.6,98,100,14.12,light snow
128,Turangi,NZ,2022-05-02 00:21:08,-39.0,175.9333,59.4,63,100,3.24,overcast clouds
129,Smithers,CA,2022-05-02 00:21:09,54.7804,-127.1743,52.12,54,100,11.5,light rain
130,Moree,AU,2022-05-02 00:21:09,-29.4667,149.85,71.62,49,0,10.36,clear sky
131,Tuktoyaktuk,CA,2022-05-02 00:21:10,69.4541,-133.0374,37.4,75,75,11.5,broken clouds
132,Torbay,CA,2022-05-02 00:21:10,47.6666,-52.7314,43.57,90,75,3.44,broken clouds
133,Hilton Head Island,US,2022-05-02 00:18:38,32.2163,-80.7526,74.98,78,0,10.36,clear sky
134,Bambous Virieux,MU,2022-05-02 00:21:11,-20.3428,57.7575,73.22,94,20,1.14,few clouds
135,Bud,US,2022-05-02 00:21:12,39.447,-86.1758,59.02,67,97,13.53,overcast clouds
136,Clyde River,CA,2022-05-02 00:21:12,70.4692,-68.5914,8.83,85,100,12.66,light snow
137,Kuloy,RU,2022-05-02 00:21:13,61.0305,42.4925,27.39,89,89,3.04,overcast clouds
138,Cape Town,ZA,2022-05-02 00:19:49,-33.9258,18.4232,60.12,83,0,5.01,clear sky
139,Ponce,PR,2022-05-02 00:21:13,18.073,-66.6185,77.61,85,100,3.24,overcast clouds
140,Ponta Do Sol,PT,2022-05-02 00:21:14,32.6667,-17.1,65.03,75,0,4.18,clear sky
141,Tomatlan,MX,2022-05-02 00:21:15,19.9333,-105.25,82.92,44,32,6.24,scattered clouds
142,Arraial Do Cabo,BR,2022-05-02 00:22:15,-22.9661,-42.0278,76.6,80,7,11.79,clear sky
143,Pacifica,US,2022-05-02 00:22:16,37.6138,-122.4869,75.43,69,20,27.63,haze
144,Griffith,US,2022-05-02 00:21:54,41.5284,-87.4237,51.66,73,100,13.8,overcast clouds
145,Berlevag,NO,2022-05-02 00:22:16,70.8578,29.0864,19.2,72,91,9.28,overcast clouds
146,Chokurdakh,RU,2022-05-02 00:22:17,70.6333,147.9167,28.54,91,61,10.25,broken clouds
147,Czluchow,PL,2022-05-02 00:22:17,53.6672,17.3588,41.16,78,96,3.22,overcast clouds
148,Bubaque,GW,2022-05-02 00:22:18,11.2833,-15.8333,77.7,71,35,11.1,scattered clouds
149,Thompson,CA,2022-05-02 00:22:18,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds
150,Severo-Kurilsk,RU,2022-05-02 00:22:19,50.6789,156.125,35.98,86,77,9.06,broken clouds
151,Huarmey,PE,2022-05-02 00:22:19,-10.0681,-78.1522,66.83,85,76,8.05,broken clouds
152,Nikolskoye,RU,2022-05-02 00:22:20,59.7035,30.7861,40.71,91,59,5.32,broken clouds
153,Sabang,ID,2022-05-02 00:22:20,5.8933,95.3214,83.55,74,100,18.59,overcast clouds
154,Bonavista,CA,2022-05-02 00:22:21,48.6499,-53.1147,37.22,96,100,4.43,overcast clouds
155,Stony Plain,CA,2022-05-02 00:22:21,53.5334,-114.0021,55.51,89,100,5.35,overcast clouds
156,Hastings,GB,2022-05-02 00:22:22,50.8552,0.5729,49.78,74,100,3.06,light rain
157,Hasaki,JP,2022-05-02 00:21:05,35.7333,140.8333,57.6,55,100,16.87,overcast clouds
158,Valparaiso,CL,2022-05-02 00:21:41,-33.0393,-71.6273,57.47,72,0,3.44,clear sky
159,Agadir,MA,2022-05-02 00:22:23,30.4202,-9.5982,63.05,70,0,5.41,clear sky
160,Dingle,PH,2022-05-02 00:22:23,10.9995,122.6711,82.67,74,99,7.43,overcast clouds
161,Katsuura,JP,2022-05-02 00:22:24,35.1333,140.3,57.45,64,100,12.03,overcast clouds
162,Kaitangata,NZ,2022-05-02 00:22:24,-46.2817,169.8464,60.13,68,16,5.28,few clouds
163,High Level,CA,2022-05-02 00:22:25,58.5169,-117.136,51.91,50,75,12.66,broken clouds
164,Pak Phanang,TH,2022-05-02 00:22:25,8.3511,100.202,80.62,84,98,5.93,overcast clouds
165,Cranbrook,CA,2022-05-02 00:22:26,49.4999,-115.7688,55.24,47,100,5.75,overcast clouds
166,Coreau,BR,2022-05-02 00:22:26,-3.5333,-40.6567,73.67,93,97,0.74,overcast clouds
167,Sisimiut,GL,2022-05-02 00:22:27,66.9395,-53.6735,25.72,76,34,6.29,scattered clouds
168,Ostrovnoy,RU,2022-05-02 00:22:27,68.0531,39.5131,14.77,93,51,8.48,broken clouds
169,Gillette,US,2022-05-02 00:21:20,44.2911,-105.5022,51.12,53,100,12.66,overcast clouds
170,Alofi,NU,2022-05-02 00:22:28,-19.0595,-169.9187,84.09,79,100,9.22,overcast clouds
171,Half Moon Bay,US,2022-05-02 00:22:29,37.4636,-122.4286,77.54,67,0,27.63,haze
172,Atar,MR,2022-05-02 00:22:29,20.5169,-13.0499,83.98,12,0,10.04,clear sky
173,Poum,NC,2022-05-02 00:22:29,-20.2333,164.0167,78.87,77,10,2.57,clear sky
174,Nanortalik,GL,2022-05-02 00:22:30,60.1432,-45.2371,37.45,84,100,4.41,overcast clouds
175,Hithadhoo,MV,2022-05-02 00:22:31,-0.6,73.0833,85.33,74,100,17.47,overcast clouds
176,Hilo,US,2022-05-02 00:22:31,19.7297,-155.09,77.29,93,100,10.36,moderate rain
177,Mantua,IT,2022-05-02 00:22:32,45.1667,10.7833,54.34,84,42,1.99,scattered clouds
178,Victor Harbor,AU,2022-05-02 00:22:32,-35.5667,138.6167,64.99,79,3,1.99,clear sky
179,Kokuy,RU,2022-05-02 00:22:33,52.2037,117.5529,55.17,50,100,7.4,overcast clouds
180,Isangel,VU,2022-05-02 00:20:16,-19.55,169.2667,87.91,74,75,6.91,broken clouds
181,Zhigansk,RU,2022-05-02 00:22:33,66.7697,123.3711,17.28,85,87,21.27,overcast clouds
182,Auki,SB,2022-05-02 00:22:34,-8.7676,160.7034,80.2,84,100,4.56,overcast clouds
183,Karratha,AU,2022-05-02 00:22:35,-20.7377,116.8463,80.49,49,100,14.38,overcast clouds
184,Gizo,SB,2022-05-02 00:22:35,-8.103,156.8419,84.43,69,23,3.2,few clouds
185,Hermanus,ZA,2022-05-02 00:23:36,-34.4187,19.2345,59.81,86,57,9.86,broken clouds
186,Mount Gambier,AU,2022-05-02 00:23:36,-37.8333,140.7667,60.71,88,100,12.66,overcast clouds
187,Geraldton,AU,2022-05-02 00:23:37,-28.7667,114.6,55.81,82,0,3.44,clear sky
188,Cheremnoye,RU,2022-05-02 00:23:37,53.1697,83.2133,64.99,55,97,5.84,overcast clouds
189,Annau,TM,2022-05-02 00:23:38,37.8876,58.516,60.3,100,100,4.61,light intensity shower rain
190,Iskateley,RU,2022-05-02 00:23:38,67.6803,53.1512,15.49,96,89,9.35,overcast clouds
191,Muros,ES,2022-05-02 00:23:39,42.7762,-9.0603,51.55,86,29,5.26,scattered clouds
192,Coquimbo,CL,2022-05-02 00:23:39,-29.9533,-71.3436,55.13,94,0,2.3,clear sky
193,Aksarka,RU,2022-05-02 00:23:40,66.5606,67.7975,5.97,96,17,4.72,few clouds
194,Madarounfa,NE,2022-05-02 00:23:40,13.3087,7.156,89.35,14,23,6.38,few clouds
195,Dhidhdhoo,MV,2022-05-02 00:23:41,6.8833,73.1,85.1,75,85,13.73,overcast clouds
196,Fort Nelson,CA,2022-05-02 00:23:41,58.8053,-122.7002,53.19,40,40,9.22,scattered clouds
197,Nizhniy Baskunchak,RU,2022-05-02 00:20:17,48.2198,46.8311,46.96,47,57,12.39,broken clouds
198,Yerbogachen,RU,2022-05-02 00:23:42,61.2767,108.0108,27.63,59,7,3.0,clear sky
199,Axim,GH,2022-05-02 00:23:43,4.8699,-2.2405,80.01,85,75,5.91,broken clouds
200,Cayenne,GF,2022-05-02 00:23:43,4.9333,-52.3333,81.09,1,20,7.0,few clouds
201,Yeppoon,AU,2022-05-02 00:23:44,-23.1333,150.7333,74.98,79,97,15.52,overcast clouds
202,Lorengau,PG,2022-05-02 00:23:44,-2.0226,147.2712,82.45,79,91,3.0,overcast clouds
203,Namatanai,PG,2022-05-02 00:23:45,-3.6667,152.4333,84.85,68,33,7.16,scattered clouds
204,Imbituba,BR,2022-05-02 00:23:45,-28.24,-48.6703,67.86,91,90,8.59,overcast clouds
205,Provideniya,RU,2022-05-02 00:23:46,64.3833,-173.3,29.37,59,14,12.64,few clouds
