City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saldanha,ZA,2022-04-29 19:29:01,-33.0117,17.9442,57.25,83,99,5.53
68,Trinidad,BO,2022-04-29 19:26:49,-14.8333,-64.9,84.18,65,75,6.91
69,Seoul,KR,2022-04-29 19:29:01,37.5683,126.9778,53.17,60,0,5.75
70,Avarua,CK,2022-04-29 19:29:02,-21.2078,-159.775,82.45,74,40,16.11
71,Ribeira Grande,PT,2022-04-29 19:29:02,38.5167,-28.7,64.8,88,20,10.36
72,Dudinka,RU,2022-04-29 19:29:03,69.4058,86.1778,-7.02,100,95,1.81
73,Udachnyy,RU,2022-04-29 19:29:03,66.4167,112.4,35.46,93,100,15.01
74,Poum,NC,2022-04-29 19:29:03,-20.2333,164.0167,75.22,74,82,11.65
75,Faanui,PF,2022-04-29 19:29:04,-16.4833,-151.75,82.06,70,0,22.86
76,Bilibino,RU,2022-04-29 19:29:04,68.0546,166.4372,17.26,94,100,3.44
77,Bintulu,MY,2022-04-29 19:29:05,3.1667,113.0333,77.41,100,40,0.0
78,Port Arthur,CN,2022-04-29 19:29:05,38.8,121.2667,53.82,86,100,8.32
79,Lorengau,PG,2022-04-29 19:29:06,-2.0226,147.2712,80.29,80,93,0.63
80,Thompson,CA,2022-04-29 19:24:11,55.7435,-97.8558,48.36,53,40,2.3
81,Butaritari,KI,2022-04-29 19:29:06,3.0707,172.7902,81.07,73,100,14.07
82,Kodinsk,RU,2022-04-29 19:29:07,58.6881,99.1844,40.75,98,100,4.41
83,Smithers,CA,2022-04-29 19:26:46,54.7804,-127.1743,50.32,40,20,6.91
84,Port Alfred,ZA,2022-04-29 19:29:07,-33.5906,26.891,62.19,80,18,5.99
85,Neiafu,TO,2022-04-29 19:29:08,-18.65,-173.9833,81.28,83,75,12.66
86,Half Moon Bay,US,2022-04-29 19:29:09,37.4636,-122.4286,73.54,59,0,16.11
87,Novokayakent,RU,2022-04-29 19:29:09,42.3937,47.9861,61.86,73,100,5.17
88,College,US,2022-04-29 19:29:10,64.8569,-147.8028,47.98,51,20,0.0
89,New Norfolk,AU,2022-04-29 19:29:10,-42.7826,147.0587,56.7,75,100,3.0
90,Tabou,CI,2022-04-29 19:29:11,4.423,-7.3528,81.88,80,19,7.4
91,Lagoa,PT,2022-04-29 19:30:11,39.05,-27.9833,61.84,84,0,20.2
92,Maraa,BR,2022-04-29 19:30:12,-1.8333,-65.3667,75.06,97,100,2.86
93,Severo-Kurilsk,RU,2022-04-29 19:30:12,50.6789,156.125,35.13,85,66,3.69
94,Luderitz,NA,2022-04-29 19:30:13,-26.6481,15.1594,57.54,74,0,12.88
95,Alta,NO,2022-04-29 19:30:13,69.9689,23.2717,28.18,85,100,9.22
96,Berezovyy,RU,2022-04-29 19:30:14,51.6667,135.7,24.4,94,89,3.65
97,Bredasdorp,ZA,2022-04-29 19:30:14,-34.5322,20.0403,60.82,76,98,9.78
98,Itaituba,BR,2022-04-29 19:30:15,-4.2761,-55.9836,82.56,83,75,0.0
99,Candelaria,PH,2022-04-29 19:30:15,13.9311,121.4233,76.28,94,100,3.67
100,Marzuq,YE,2022-04-29 19:30:15,14.4,46.4667,73.99,68,47,5.75
101,Airai,TL,2022-04-29 19:30:16,-8.9266,125.4092,59.38,76,100,2.73
102,Azangaro,PE,2022-04-29 19:30:16,-14.9167,-70.2167,60.24,28,71,5.46
103,Vanavara,RU,2022-04-29 19:30:17,60.34,102.2797,39.13,100,100,5.39
104,Hambantota,LK,2022-04-29 19:30:17,6.1241,81.1185,81.18,84,100,10.36
105,Zlobin,HR,2022-04-29 19:30:18,45.2924,14.6541,54.7,49,20,4.61
106,Mwinilunga,ZM,2022-04-29 19:30:18,-11.7358,24.4293,66.04,73,98,3.67
107,Port Hedland,AU,2022-04-29 19:30:19,-20.3167,118.5667,71.65,78,100,10.36
108,Saskylakh,RU,2022-04-29 19:30:19,71.9167,114.0833,29.59,97,100,14.27
109,Longyearbyen,SJ,2022-04-29 19:30:20,78.2186,15.6401,10.24,61,40,0.0
110,Daman,IN,2022-04-29 19:30:20,20.4167,72.85,83.41,72,0,7.74
111,Hithadhoo,MV,2022-04-29 19:30:21,-0.6,73.0833,84.74,72,73,8.57
112,Imbituba,BR,2022-04-29 19:30:21,-28.24,-48.6703,71.85,69,36,10.09
113,Ust-Koksa,RU,2022-04-29 19:30:21,50.2696,85.6108,41.27,68,73,1.41
114,Osorno,CL,2022-04-29 19:30:22,-40.5667,-73.15,54.25,58,0,9.22
115,Vryheid,ZA,2022-04-29 19:30:22,-27.7695,30.7917,59.88,57,1,7.92
116,Mackenzie,CA,2022-04-29 19:30:23,55.2999,-123.1698,41.22,60,100,4.61
117,Provideniya,RU,2022-04-29 19:30:23,64.3833,-173.3,32.56,91,100,15.73
118,Yuci,CN,2022-04-29 19:30:24,37.6803,112.7319,53.35,37,40,11.18
119,Wagar,SD,2022-04-29 19:30:24,16.1525,36.2032,87.51,15,0,19.13
120,Pandan,PH,2022-04-29 19:30:24,14.0453,124.1694,78.62,86,87,5.86
121,Bengkulu,ID,2022-04-29 19:30:25,-3.8004,102.2655,75.74,91,31,4.07
122,Fortuna,US,2022-04-29 19:30:25,40.5982,-124.1573,63.93,62,20,10.36
123,Petropavlovka,RU,2022-04-29 19:30:26,50.6114,105.3196,39.25,69,45,3.53
